month,Apple_units,Samsung_units,Google_units,Motorola_units,cpi_index,month_num,year,quarter,is_holiday_season,is_back_to_school,is_black_friday,is_new_year_promo,launch_apple,launch_samsung,launch_google,launch_motorola
2016-01-01,581903.5857120387,309810.5967579703,26462.140968739946,27694.110729092645,127.5,1,2016,1,0,0,0,1,0,0,0,0
2016-02-01,320679.1094609783,198754.5298593151,16453.61740876707,12030.713911986071,127.3,2,2016,1,0,0,0,0,0,0,0,0
2016-03-01,429801.01606162847,221780.0218232663,14228.020339650404,14592.689954742536,127.7,3,2016,1,0,0,0,0,0,1,0,0
2016-04-01,464015.2500193179,268384.6575826843,18815.616437793324,20604.601082511468,127.9,4,2016,2,0,0,0,0,0,0,0,0
2016-05-01,359056.0889391267,223839.73357670874,15091.165461930019,15462.278583465848,128.3,5,2016,2,0,0,0,0,0,0,0,1
2016-06-01,399034.3034355802,238814.649614442,14208.11108024891,18650.98461950986,128.6,6,2016,2,0,0,0,0,0,0,0,0
2016-07-01,528511.3333321316,309763.205847275,15958.600218666295,22646.574627357404,128.5,7,2016,3,0,0,0,0,0,0,0,1
2016-08-01,495950.0440882409,301019.91392935056,15000.525074679626,27753.83054466418,128.6,8,2016,3,0,1,0,0,0,1,0,0
2016-09-01,714961.3891836104,330669.21401444066,14606.523838101664,33616.399758921034,128.8,9,2016,3,0,0,0,0,1,0,0,0
2016-10-01,821785.1021126951,333483.13129217876,20560.12357084299,35890.979996192276,129.1,10,2016,4,0,0,0,0,0,0,1,0
2016-11-01,809685.5925265735,387451.75733890646,32744.53467300231,40702.232813434915,128.9,11,2016,4,1,0,1,0,0,0,0,0
2016-12-01,805325.5184614123,401880.2550301281,112781.02092757744,30179.6033781218,129.3,12,2016,4,1,0,0,0,0,0,0,0
2017-01-01,439695.07844343723,266468.7572248191,20471.885257062848,20351.704973138832,130.1,1,2017,1,0,0,0,1,0,0,0,0
2017-02-01,429047.052974955,272636.4652122612,20005.785172832955,18885.61590289365,129.9,2,2017,1,0,0,0,0,0,0,0,0
2017-03-01,353351.4008552015,257972.10178351254,14168.79037479918,15910.362402270028,129.7,3,2017,1,0,0,0,0,0,0,0,0
2017-04-01,440271.5375511719,306014.0802557838,15254.949263035547,20035.963499870035,130.1,4,2017,2,0,0,0,0,0,1,0,1
2017-05-01,483276.6331243075,308581.8904873298,17317.939585250744,22000.885011569328,129.9,5,2017,2,0,0,0,0,0,0,0,0
2017-06-01,463270.4672917415,308258.4184274857,14122.629127836984,23299.98816536587,129.9,6,2017,2,0,0,0,0,0,0,0,0
2017-07-01,537777.2624148797,341882.28339051077,15506.201449161177,24048.59583385823,130.1,7,2017,3,0,0,0,0,0,0,0,1
2017-08-01,595007.1476412822,385819.24871355196,16452.269353066073,28373.09307255507,130.4,8,2017,3,0,1,0,0,0,0,0,0
2017-09-01,698340.0962375769,318726.44158186245,14069.346329298427,21959.49666235774,130.7,9,2017,3,0,0,0,0,1,1,0,0
2017-10-01,613451.7437479263,296687.46948547533,17304.565110133866,24729.748582590484,130.9,10,2017,4,0,0,0,0,0,0,1,0
2017-11-01,822336.1580736467,361515.9358709415,21377.205399712304,28976.67934401444,131.7,11,2017,4,1,0,1,0,1,0,0,0
2017-12-01,1009062.9216438726,503374.4075664656,56160.93357780997,37515.366549516264,131.8,12,2017,4,1,0,0,0,0,0,0,0
2018-01-01,618583.8694489938,347078.7062926129,26875.9503142964,22092.99802802744,132.3,1,2018,1,0,0,0,1,0,0,0,0
